,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
0,0.703,1,0.541,9,-13.225,0.162,0.00209,0.881,0.0983,0.302,178.003,129438,72kmmlWqS2SkIVwBmawtbb,DeLorian,Dentist,Levitate,72kmmlWqS2SkIVwBmawtbb
1,0.612,0,0.434,5,-9.263,0.0787,0.742,0.27,0.181,0.861,80.013,96000,03NvFoQqVypUOifssBl0JC,Cozy Jazz,Prod. By Outtake,Cozy Jazz,03NvFoQqVypUOifssBl0JC
2,0.651,0,0.314,7,-12.621,0.341,0.509,0.0171,0.099,0.536,170.348,136941,3ONIRhoRyimzjiW2W8PjtB,Silver Birch,Rudy Raw,Silver Birch,3ONIRhoRyimzjiW2W8PjtB
3,0.832,1,0.156,1,-16.499,0.052,0.647,0.907,0.105,0.226,110.007,88620,3qJcs60nnXV49Bl3MwX3OH,Daydream,Brad Enbata,Daydream,3qJcs60nnXV49Bl3MwX3OH
4,0.663,1,0.12,7,-13.662,0.0344,0.925,0.88,0.115,0.19,80.041,162000,6r0Jqgnd5i92R2cuE0Z1q6,Gymnopédies,L.Dre,Gymnopédies,6r0Jqgnd5i92R2cuE0Z1q6
5,0.8,0,0.393,11,-12.183,0.142,0.715,0.905,0.121,0.297,79.996,126750,2z2mwCEkYqMVwc10HGwUBY,Hometown,Mozzie,Hometown,2z2mwCEkYqMVwc10HGwUBY
6,0.825,0,0.339,6,-14.21,0.299,0.864,0.838,0.169,0.152,73.992,116757,41kVqJrBsEaZXFfv9sDrpo,Twisted,sleepsleepsleep,Twisted,41kVqJrBsEaZXFfv9sDrpo
7,0.539,0,0.141,7,-12.556,0.353,0.732,0.699,0.143,0.361,160.659,132000,1MQHacUW73AKPG9nlf28oZ,G-Jazz,Grmmr.126,G-Jazz,1MQHacUW73AKPG9nlf28oZ
8,0.633,0,0.28,2,-11.627,0.0285,0.768,0.912,0.0924,0.661,80.043,134306,2ciL24gMyyIbbuL531rTyB,Urban Jazz,KLIM,Urban Jazz,2ciL24gMyyIbbuL531rTyB
9,0.759,0,0.317,8,-11.892,0.259,0.879,0.823,0.098,0.236,80.005,96000,28qj2LnACOvB97gUaGjL5D,Spirelli,Elffire,Spirelli,28qj2LnACOvB97gUaGjL5D
10,0.49,0,0.298,7,-13.578,0.0941,0.361,0.939,0.223,0.69,164.135,120000,1JSyfYEBN3eYwoaq0mum2w,So Good,Deauxnuts,So Good,1JSyfYEBN3eYwoaq0mum2w
11,0.74,0,0.271,6,-16.488,0.0332,0.628,0.894,0.307,0.631,86.008,206512,6bGT3VFQFaIeqlLe76m7c6,Night Out,High John,Night Out,6bGT3VFQFaIeqlLe76m7c6
12,0.71,0,0.468,10,-8.396,0.0399,0.486,0.617,0.131,0.34,74.993,141000,1dGC8B4AVlFvTE7hW1ZNK3,Downstream,Prime8,Downstream,1dGC8B4AVlFvTE7hW1ZNK3
13,0.424,0,0.362,2,-8.169,0.0348,0.983,0.693,0.185,0.0382,138.313,150197,5jZHLuaKYFSrtqy3oThpLJ,White Days,softy,White Days,5jZHLuaKYFSrtqy3oThpLJ
14,0.772,0,0.357,11,-9.977,0.113,0.528,0.788,0.355,0.171,84.016,83051,71UZNO2eVE8dqoThogxIin,Post Truth,Beatific Vision,Post Truth,71UZNO2eVE8dqoThogxIin
15,0.807,1,0.206,1,-12.347,0.0457,0.559,0.844,0.0975,0.379,80.219,97500,3QkuxqoAIE4wEkQHdvXrcN,Morning Routine,Guzimi,Morning Routine,3QkuxqoAIE4wEkQHdvXrcN
16,0.79,0,0.409,3,-10.388,0.0795,0.188,0.818,0.0976,0.251,87.026,124127,3oZmdHQhEand0yMbqUJUrq,Wander,Lazlow,Wander,3oZmdHQhEand0yMbqUJUrq
17,0.839,1,0.329,1,-11.392,0.0551,0.656,0.93,0.113,0.204,79.99,108000,5IMN6U2yKva50QhZd8AtqU,Sunny,Iassu,Sunny,5IMN6U2yKva50QhZd8AtqU
18,0.52,0,0.537,3,-7.29,0.0952,0.765,0.648,0.104,0.527,83.174,127644,3TXsvG6SPvXFGyAPs6ZTbS,Long Story Short,DESH,Long Story Short,3TXsvG6SPvXFGyAPs6ZTbS
19,0.67,0,0.253,2,-15.417,0.0374,0.338,0.92,0.102,0.283,89.991,144213,06Ij7RjzQTAOyKIkenfAoA,Everything Is Calm,Wieland & Ulrich,Everything Is Calm,06Ij7RjzQTAOyKIkenfAoA
20,0.74,0,0.461,9,-8.815,0.0398,0.148,0.337,0.107,0.518,85.994,133953,7qNjO6TC4S4yBeEcefkV6e,Kebapland,Kevoe West,Kebapland,7qNjO6TC4S4yBeEcefkV6e
21,0.635,1,0.454,8,-11.157,0.0505,0.662,0.825,0.12,0.366,73.987,116757,5vQmdPFA7bR2vInTKiySJJ,Lente,Shierro,Lente,5vQmdPFA7bR2vInTKiySJJ
22,0.67,0,0.488,11,-8.669,0.17,0.048,0.447,0.363,0.399,80.014,172273,4cmezsZ5LAp5p62KwiWS48,Being Free,Chris Cross,Being Free,4cmezsZ5LAp5p62KwiWS48
23,0.746,0,0.767,8,-5.645,0.332,0.323,0.861,0.0984,0.863,180.076,133000,4tN5jfueFkQ7I52tNTp925,Good Morning,Ted Fresco,Good Morning,4tN5jfueFkQ7I52tNTp925
24,0.496,1,0.266,11,-14.646,0.0416,0.919,0.826,0.092,0.246,82.984,133012,3A4xiikel0UUzUKFo54Lkw,Beneteau,Sátyr,Beneteau,3A4xiikel0UUzUKFo54Lkw
25,0.619,1,0.416,5,-9.84,0.0442,0.0901,0.928,0.255,0.23,75.007,119600,4NPPOiGhktISqk4GMg9eQu,Forbidden Fruit,Burrito Eats,Forbidden Fruit,4NPPOiGhktISqk4GMg9eQu
26,0.64,0,0.449,7,-8.37,0.103,0.184,0.856,0.114,0.333,85.197,118588,4XRqTzS396OGLIn5bsxcaL,Second Chance,Saiko,Second Chance,4XRqTzS396OGLIn5bsxcaL
27,0.705,1,0.398,5,-11.273,0.0422,0.378,0.901,0.169,0.384,92.988,130775,160LvdIcljhbCyBIzo3GXy,Jazzflava,Lamar Azul,Jazzflava,160LvdIcljhbCyBIzo3GXy
28,0.696,0,0.488,11,-5.936,0.039,0.365,0.0016,0.262,0.714,146.051,115068,6TCBeYNx8zRMnkKLSB5ZuJ,taking naps,Farhot,taking naps,6TCBeYNx8zRMnkKLSB5ZuJ
29,0.464,0,0.213,5,-13.819,0.0995,0.554,0.83,0.122,0.739,79.395,127801,2xnTbGpJdU4lQWXRDRjKj0,Integral JaZz,CrazyJaZz,Integral JaZz,2xnTbGpJdU4lQWXRDRjKj0
30,0.581,1,0.242,2,-13.373,0.0373,0.861,0.938,0.15,0.0764,76.048,154934,3ncySJfjsBGeYyiEEkglqq,Stargazing,Danæ,Nautic Cruise,3ncySJfjsBGeYyiEEkglqq
31,0.68,0,0.635,2,-5.916,0.0726,0.159,0.929,0.132,0.495,79.054,86392,71JgPrqnNGa5tXCNQRSezU,Calma,young.vishnu,Calma,71JgPrqnNGa5tXCNQRSezU
32,0.739,0,0.216,5,-8.097,0.0459,0.126,0.907,0.097,0.515,85.119,118588,4XT9EDO2LVFzV6as0lGeRd,Finally Spring,Kasimir,Finally Spring,4XT9EDO2LVFzV6as0lGeRd
33,0.719,0,0.39,5,-6.205,0.0742,0.238,0.939,0.471,0.481,83.048,102108,064O5hulEViH0urpgjhnLX,Colorful,Lichtboje,Colorful,064O5hulEViH0urpgjhnLX
34,0.768,1,0.338,8,-9.193,0.0551,0.387,0.781,0.894,0.65,79.958,113647,7fCzVo2VXz1NqMyao2mVgH,Wish,Civin,Wish,7fCzVo2VXz1NqMyao2mVgH
35,0.815,0,0.423,10,-17.055,0.422,0.33,0.81,0.0847,0.854,81.972,130259,3BDFBS075FaAQYlHHlf9so,Jupiter's Moon,SamuW,Jupiter's Moon,3BDFBS075FaAQYlHHlf9so
36,0.649,1,0.599,6,-7.027,0.0599,0.376,0.618,0.196,0.497,88.893,138876,7o2M9p2nBQzBBNOXCE1XPL,Ice Cubes,Saiko,Ice Cubes,7o2M9p2nBQzBBNOXCE1XPL
37,0.373,0,0.527,2,-11.542,0.0645,0.429,0.932,0.102,0.211,163.88,109024,3qSuHSjEYAltq1AbZS2UGG,Slide,Deauxnuts,Slide,3qSuHSjEYAltq1AbZS2UGG
38,0.393,1,0.317,0,-13.701,0.0555,0.505,0.823,0.0993,0.21,81.201,204944,7oT7NDlXx5xpteinixhpQo,Wavy,xander.,Wavy,7oT7NDlXx5xpteinixhpQo
39,0.531,1,0.455,2,-12.572,0.193,0.831,0.917,0.11,0.306,148.066,169584,2YiDJMp5tdg2dYjEFqT82S,Sunday Swamp,Nobel,Sunday Swamp,2YiDJMp5tdg2dYjEFqT82S
40,0.673,0,0.547,4,-10.319,0.0618,0.351,0.826,0.148,0.464,85.516,115115,6dDQ3c9tYejVdeUMSqLz2x,Trailways,Nokiaa,Trailways,6dDQ3c9tYejVdeUMSqLz2x
41,0.733,1,0.395,0,-15.051,0.0629,0.597,0.927,0.103,0.924,80.0,109125,5eItbTyLvObdxg9gotDr23,Beachtime,Kasimir,Beachtime,5eItbTyLvObdxg9gotDr23
42,0.7,0,0.338,2,-17.107,0.11,0.0517,0.919,0.122,0.446,136.065,141176,6cps2VabulYiKwDxjb2R54,Sugar Trail,Inf,Sugar Trail,6cps2VabulYiKwDxjb2R54
43,0.42,0,0.368,4,-11.884,0.044,0.691,0.781,0.134,0.102,83.974,122857,6c5hmRMe6X7t6xNNdQapC0,Shards,Plusma,Shards,6c5hmRMe6X7t6xNNdQapC0
44,0.684,1,0.275,6,-11.821,0.163,0.183,0.756,0.0786,0.624,78.008,123496,46otNtxw1tp66cO2ZgC6n3,Roadmap,Smeeagain,Roadmap,46otNtxw1tp66cO2ZgC6n3
45,0.675,0,0.391,10,-16.962,0.0483,0.574,0.925,0.129,0.882,80.012,117000,7CqyMOgqLtNYx8cSS9fDy2,October,Oslo,October,7CqyMOgqLtNYx8cSS9fDy2
46,0.742,0,0.448,4,-10.879,0.0369,0.735,0.746,0.126,0.465,86.043,101163,2qcaBkKJbTEqi6QeemAP4s,One Life,Living Room,One Life,2qcaBkKJbTEqi6QeemAP4s
47,0.622,0,0.699,10,-7.348,0.108,0.272,0.708,0.105,0.524,85.887,120258,2yuNnbs1GxEROw5sX1keGb,Rhythm 2 - Saiko Soul Treat,Saiko,Rhythm 2 (Saiko Soul Treat),2yuNnbs1GxEROw5sX1keGb
48,0.78,1,0.296,11,-9.359,0.171,0.119,0.881,0.0833,0.873,141.94,115125,7lY2zovuTeMCvUvk07Z0sG,Flowow,Fed Nance,Flowow,7lY2zovuTeMCvUvk07Z0sG
49,0.726,1,0.177,6,-16.756,0.0549,0.866,0.92,0.113,0.477,75.0,107200,3bviVvkm8rEG86RmK5OCS1,Waiting For Tea,Kasimir,Waiting For Tea,3bviVvkm8rEG86RmK5OCS1
50,0.757,1,0.229,7,-7.616,0.141,0.822,0.925,0.0948,0.388,74.981,118400,34rDTa9sEiCGccvIzZkHbN,Shallow,Loufish,Shallow,34rDTa9sEiCGccvIzZkHbN
51,0.667,0,0.211,2,-12.552,0.046,0.575,0.925,0.155,0.694,170.044,138353,69Aac1Q8UXmtWOrcHimO0f,Nocturnal,Oilix,Nocturnal,69Aac1Q8UXmtWOrcHimO0f
52,0.79,0,0.216,4,-11.561,0.527,0.0235,0.917,0.0672,0.44,79.109,133125,5F7xMAUNCHmzy5stdZWvkO,Giza,Hans Hu$tle,Giza,5F7xMAUNCHmzy5stdZWvkO
53,0.656,1,0.409,2,-12.388,0.231,0.835,0.731,0.119,0.484,166.028,116220,2lgYbvxD8zyKvwhDyXWAXZ,Sunset Mood,kanves,sunset mood,2lgYbvxD8zyKvwhDyXWAXZ
54,0.713,0,0.495,5,-8.835,0.078,0.799,0.934,0.108,0.268,80.002,111000,3dBb5k9IR2AfzXrM2Od3Om,When We Last Spoke,Birds Of The West,When We Last Spoke,3dBb5k9IR2AfzXrM2Od3Om
55,0.644,0,0.392,9,-8.629,0.0926,0.168,0.713,0.0936,0.461,76.489,166275,0K10ENKa2CiPZCVtctyqwf,Solar,FLKS,Solar,0K10ENKa2CiPZCVtctyqwf
56,0.657,0,0.262,1,-16.147,0.0972,0.449,0.933,0.111,0.58,163.698,82500,0Lca4X8ywapByHnAc09r1u,Rio,SP-Mato,Short Trip,0Lca4X8ywapByHnAc09r1u
57,0.675,0,0.283,7,-11.232,0.0453,0.915,0.937,0.199,0.51,89.971,153442,0UI7l0ejPAknjRsm7FjcSw,Summer Sunset,Mindscape,Summer Sunset,0UI7l0ejPAknjRsm7FjcSw
58,0.685,0,0.435,0,-7.396,0.244,0.243,0.863,0.112,0.56,84.023,118177,5sdRMVfel2Bc5pTpkhjsbv,Golden Route,Schmiddunsk,Golden Route,5sdRMVfel2Bc5pTpkhjsbv
59,0.624,0,0.439,4,-9.514,0.0884,0.46,0.942,0.154,0.116,73.021,96000,1ENTPp49YJwNf5B3p8Uj6p,Aurora,Lito Akari,Aurora,1ENTPp49YJwNf5B3p8Uj6p
60,0.655,0,0.557,6,-8.635,0.0511,0.67,0.661,0.142,0.434,78.995,151899,0zBAwsXFKs4lXZtZbY4reT,Revue,paris91,Revue,0zBAwsXFKs4lXZtZbY4reT
61,0.709,0,0.332,11,-15.323,0.0616,0.433,0.885,0.169,0.444,86.019,91395,19NMCb0Ur6FPad3BU0ainP,Nostalgia,Worldtraveller,Nostalgia,19NMCb0Ur6FPad3BU0ainP
62,0.788,1,0.331,1,-15.894,0.105,0.806,0.899,0.104,0.562,79.946,87000,0xh8FDAOAhaUh5R090cNwR,As Time Goes By,Oslo,As Time Goes By,0xh8FDAOAhaUh5R090cNwR
63,0.684,0,0.26,8,-15.333,0.0928,0.773,0.558,0.0955,0.136,77.973,172009,4Lxh3lRm24bFhsmQyQsRMe,Flat,Philphonic,Flat,4Lxh3lRm24bFhsmQyQsRMe
64,0.695,0,0.43,6,-12.037,0.0695,0.175,0.821,0.132,0.377,85.997,130000,5EThnlyGxPua0H7YuUbWf2,Cidade,Jakspin,Cidade,5EThnlyGxPua0H7YuUbWf2
65,0.694,0,0.534,2,-11.351,0.0451,0.106,0.89,0.113,0.556,86.997,147067,6Nf3WJHF1ZCya9gwD55NwD,Illjazz,Lamar Azul,Illjazz,6Nf3WJHF1ZCya9gwD55NwD
66,0.778,1,0.362,0,-12.528,0.335,0.905,0.37,0.0965,0.298,81.919,105366,7qmcHozSGwsH5I7IjF16eU,Fresh Bloom,CMJ,Fresh Bloom,7qmcHozSGwsH5I7IjF16eU
67,0.754,0,0.34,10,-10.884,0.121,0.192,0.688,0.157,0.446,158.01,122279,4OStFivEWQbYO59CgEX98f,Cloudscape,SōNE,Cloudscape,4OStFivEWQbYO59CgEX98f
68,0.832,0,0.264,8,-16.108,0.349,0.232,0.696,0.112,0.45,81.018,143704,2CshcD2ZdSr8lgEkSYcmmK,Kite,Moderator,Kite,2CshcD2ZdSr8lgEkSYcmmK
69,0.75,0,0.587,11,-10.392,0.074,0.368,0.867,0.145,0.41,80.013,86683,2jG5D5PT8MAkNO3cAjOMWi,Funky Wizard,MAFFYN,Beat Collection II,2jG5D5PT8MAkNO3cAjOMWi
70,0.607,0,0.24,7,-12.047,0.0386,0.135,0.917,0.104,0.379,164.049,96585,2Vn2PKznrf5e1FtVcoIwQe,Good Morning,Oslo,Good Morning,2Vn2PKznrf5e1FtVcoIwQe
71,0.627,0,0.425,5,-11.817,0.0524,0.567,0.908,0.0964,0.28,79.986,123288,4ZvoVfFckum6EIA5RPD57M,Coffee for Two,HawkOne,Coffee for Two,4ZvoVfFckum6EIA5RPD57M
72,0.563,1,0.273,10,-10.872,0.031,0.692,0.705,0.119,0.344,85.424,113330,7fzBwaENsIzmYQnkNXtqPj,Magnifying,Sam Cross,Magnifying,7fzBwaENsIzmYQnkNXtqPj
73,0.724,0,0.536,10,-9.488,0.141,0.63,0.836,0.0974,0.226,82.0,128781,6lwWSZ8BRW7mCEKs7J6jj7,Memories,Roelo,Memories,6lwWSZ8BRW7mCEKs7J6jj7
74,0.703,0,0.425,11,-10.604,0.0367,0.611,0.879,0.116,0.346,89.954,171333,2XrXZ0DH1mqspN4mZWEp05,It's Not Just Me,Ngyn,It's Not Just Me,2XrXZ0DH1mqspN4mZWEp05
75,0.546,0,0.394,11,-9.039,0.0641,0.818,0.951,0.125,0.273,87.975,130909,6SXJNIroh2Phy4mE3eoByf,Reminisce,Oaty.,Reminisce,6SXJNIroh2Phy4mE3eoByf
76,0.731,0,0.393,8,-6.35,0.0938,0.469,0.506,0.163,0.499,83.885,137857,0v5swa6eOj8DIV7AhFwPUF,Big Apple,Saiko,Big Apple,0v5swa6eOj8DIV7AhFwPUF
77,0.669,1,0.442,2,-11.363,0.0632,0.928,0.915,0.133,0.39,155.97,142882,6OGSthy4oaSFBg1SNE17dM,white star,keseki,white star,6OGSthy4oaSFBg1SNE17dM
78,0.823,0,0.3,11,-15.296,0.0593,0.744,0.79,0.301,0.705,114.944,134876,6YAroh1egcZehP7e7TnxzV,Red Beach,Peter Kind,Red Beach,6YAroh1egcZehP7e7TnxzV
79,0.837,0,0.223,1,-11.476,0.0488,0.801,0.915,0.113,0.421,82.066,94987,3i1QDnpInuZUfTmnauuEbu,Epoch,Tom Doolie,Epoch,3i1QDnpInuZUfTmnauuEbu
80,0.804,0,0.319,8,-14.253,0.0767,0.821,0.897,0.112,0.453,77.983,98462,5x06pW7r0lebJulesKVnSS,Sunflower Fields,Iassu,Sunflower Fields,5x06pW7r0lebJulesKVnSS
81,0.698,1,0.386,0,-9.771,0.188,0.319,0.00183,0.0968,0.494,83.964,117143,0Rmjd0pRsHwROEdtd2uu3d,Blinker,Khutko,Blinker,0Rmjd0pRsHwROEdtd2uu3d
82,0.792,0,0.446,2,-12.049,0.0563,0.515,0.876,0.106,0.616,120.003,92000,6TfvZnvS172wKpSj2S88XV,Beacon,Pawcut,Next Flight Ontario (Beat Edits),6TfvZnvS172wKpSj2S88XV
83,0.702,0,0.327,6,-10.046,0.115,0.843,0.669,0.373,0.144,84.044,131562,6o072JVrUHju3ReQDwnQvX,Indigo,DYVN,Indigo,6o072JVrUHju3ReQDwnQvX
84,0.538,1,0.314,1,-9.514,0.354,0.645,0.272,0.177,0.434,114.564,145920,32r2k2nglVzoetLtsuyLK7,Lazy Afternoon,Marcos Caixa,Lazy Afternoon,32r2k2nglVzoetLtsuyLK7
85,0.711,1,0.199,6,-13.348,0.0547,0.902,0.857,0.108,0.627,91.976,97463,32SebboTVV30b9Atx9OKFU,comme ça.,UKDD,comme ça.,32SebboTVV30b9Atx9OKFU
86,0.767,1,0.593,8,-10.544,0.132,0.157,0.04,0.106,0.578,78.007,109231,43rQHWHRNUYvjp1kauDnjL,Innocent Duck,Am Froggo,Innocent Duck,43rQHWHRNUYvjp1kauDnjL
87,0.788,1,0.558,1,-9.918,0.212,0.463,0.883,0.12,0.463,77.994,98500,22TqEu9zWwmzAerQAAqyk7,Sweet Sunset,Iassu,Sweet Sunset,22TqEu9zWwmzAerQAAqyk7
88,0.537,0,0.495,9,-9.36,0.0459,0.568,0.644,0.115,0.634,168.063,137522,19AiqwcVZDgbivDpLwZtG3,spirits,n o r m a l,spirits,19AiqwcVZDgbivDpLwZtG3
89,0.855,1,0.56,5,-8.132,0.0743,0.805,0.923,0.42,0.362,94.971,164217,7KPAMOtffV17NiiapCPGnh,Laidback Style,RejSende,Laidback Style,7KPAMOtffV17NiiapCPGnh
90,0.674,0,0.333,4,-10.344,0.0345,0.49,0.856,0.102,0.417,83.921,108571,1xYrQE0XStZEJ9Z5QnFsJL,Lights Out,Deauxnuts,Lights Out,1xYrQE0XStZEJ9Z5QnFsJL
91,0.844,1,0.363,1,-20.08,0.0535,0.916,0.974,0.141,0.362,112.894,85718,27tnbPBfFjof7acoR2aqcQ,Flowers,Goldenninjah,Flowers,27tnbPBfFjof7acoR2aqcQ
92,0.739,0,0.264,11,-15.443,0.0515,0.554,0.84,0.0796,0.847,180.018,124069,0pAZwblmzeso5UGoEMwXEl,JazzStories,Zmeyev,JazzStories,0pAZwblmzeso5UGoEMwXEl
93,0.766,1,0.272,2,-12.642,0.0572,0.658,0.935,0.281,0.39,88.987,142921,2JnVnqt3M2mUw1BJcCqI0U,Coffee Jazz,Phlocalyst,Coffee Jazz,2JnVnqt3M2mUw1BJcCqI0U
94,0.846,1,0.255,10,-14.348,0.161,0.256,0.571,0.113,0.443,85.103,135529,0qHWLH1msM5dfrwcYtCq4Y,Space Maneuvers,Loop Schrauber,Space Maneuvers,0qHWLH1msM5dfrwcYtCq4Y
95,0.444,0,0.375,9,-14.863,0.0601,0.794,0.746,0.106,0.357,149.559,134500,7bpslE0Bb4juoM1LiBml1U,Riverside,Jam'addict,Riverside,7bpslE0Bb4juoM1LiBml1U
96,0.341,0,0.428,2,-14.595,0.0644,0.125,0.969,0.169,0.346,145.204,80257,2MOMbPmESd5YkmNz8LjKAe,Magnifico Disastro,XXIII,Me And Myself,2MOMbPmESd5YkmNz8LjKAe
97,0.504,1,0.286,0,-13.259,0.062,0.669,0.645,0.116,0.405,132.959,129067,5shRAbjr263aLdUb7CjpTR,Silk,Seb Zillner,Silk,5shRAbjr263aLdUb7CjpTR
98,0.809,0,0.343,9,-10.838,0.112,0.894,0.949,0.0919,0.146,79.977,114000,6mD3Y8GFnYQUXGRTMjaCYN,Habitual,Sebastian Kamae,Habitual,6mD3Y8GFnYQUXGRTMjaCYN
99,0.561,1,0.333,6,-13.941,0.141,0.628,0.794,0.116,0.298,88.138,122500,3lxsDTkTUDegCbh5ptgUFO,snow flowers,flamingo zamperoni,snow flowers,3lxsDTkTUDegCbh5ptgUFO
